T[s],S(t)
0.000,0.00
0.001,374.57
0.002,735.87
0.003,1071.09
0.004,1368.38
0.005,1617.23
0.006,1808.86
0.007,1936.55
0.008,1995.85
0.009,1984.74
0.010,1903.72
0.011,1755.73
0.012,1546.11
0.013,1282.33
0.014,973.76
0.015,631.33
0.016,267.08
0.017,-106.18
0.018,-475.41
0.019,-827.76
0.020,-1151.04
0.021,-1434.11
0.022,-1667.31
0.023,-1842.75
0.024,-1954.59
0.025,-1999.21
0.026,-1975.36
0.027,-1884.11
0.028,-1728.85
0.029,-1515.15
0.030,-1250.50
0.031,-944.08
0.032,-606.41
0.033,-248.98
0.034,116.15
0.035,476.77
0.036,820.93
0.037,1137.32
0.038,1415.68
0.039,1647.10
0.040,1824.27
0.041,1941.78
0.042,1996.18
0.043,1986.13
0.044,1912.38
0.045,1777.72
0.046,1586.87
0.047,1346.28
0.048,1063.88
0.049,748.87
0.050,411.32
0.051,61.90
0.052,-288.51
0.053,-629.12
0.054,-949.61
0.055,-1240.39
0.056,-1492.94
0.057,-1700.00
0.058,-1855.77
0.059,-1956.10
0.060,-1998.54
0.061,-1982.37
0.062,-1908.61
0.063,-1779.96
0.064,-1600.65
0.065,-1376.31
0.066,-1113.76
0.067,-820.79
0.068,-505.92
0.069,-178.12
0.070,153.40
0.071,479.52
0.072,791.44
0.073,1080.89
0.074,1340.36
0.075,1563.30
0.076,1744.25
0.077,1878.95
0.078,1964.47
0.079,1999.19
0.080,1982.84
0.081,1916.46
0.082,1802.35
0.083,1643.96
0.084,1445.76
0.085,1213.13
0.086,952.17
0.087,669.53
0.088,372.24
0.089,67.54
0.090,-237.34
0.091,-535.32
0.092,-819.65
0.093,-1084.03
0.094,-1322.80
0.095,-1530.98
0.096,-1704.42
0.097,-1839.81
0.098,-1934.80
0.099,-1987.94
0.100,-1998.74
0.101,-1967.61
0.102,-1895.86
0.103,-1785.59
0.104,-1639.66
0.105,-1461.57
0.106,-1255.40
0.107,-1025.68
0.108,-777.26
0.109,-515.27
0.110,-244.94
0.111,28.49
0.112,299.85
0.113,564.16
0.114,816.71
0.115,1053.13
0.116,1269.50
0.117,1462.32
0.118,1628.67
0.119,1766.13
0.120,1872.88
0.121,1947.67
0.122,1989.84
0.123,1999.28
0.124,1976.45
0.125,1922.31
0.126,1838.28
0.127,1726.25
0.128,1588.47
0.129,1427.53
0.130,1246.29
0.131,1047.83
0.132,835.40
0.133,612.35
0.134,382.06
0.135,147.94
0.136,-86.68
0.137,-318.56
0.138,-544.62
0.139,-761.94
0.140,-967.83
0.141,-1159.83
0.142,-1335.75
0.143,-1493.69
0.144,-1632.04
0.145,-1749.49
0.146,-1845.05
0.147,-1918.01
0.148,-1967.98
0.149,-1994.84
0.150,-1998.79
0.151,-1980.24
0.152,-1939.88
0.153,-1878.61
0.154,-1797.54
0.155,-1697.95
0.156,-1581.30
0.157,-1449.16
0.158,-1303.23
0.159,-1145.27
0.160,-977.12
0.161,-800.66
0.162,-617.77
0.163,-430.36
0.164,-240.28
0.165,-49.35
0.166,140.64
0.167,328.02
0.168,511.15
0.169,688.53
0.170,858.74
0.171,1020.50
0.172,1172.60
0.173,1314.02
0.174,1443.81
0.175,1561.19
0.176,1665.49
0.177,1756.16
0.178,1832.81
0.179,1895.14
0.180,1943.00
0.181,1976.33
0.182,1995.20
0.183,1999.78
0.184,1990.33
0.185,1967.21
0.186,1930.86
0.187,1881.80
0.188,1820.61
0.189,1747.96
0.190,1664.54
0.191,1571.10
0.192,1468.44
0.193,1357.37
0.194,1238.75
0.195,1113.44
0.196,982.32
0.197,846.27
0.198,706.19
0.199,562.95
0.200,417.42
0.201,270.46
0.202,122.91
0.203,-24.42
0.204,-170.75
0.205,-315.30
0.206,-457.36
0.207,-596.23
0.208,-731.25
0.209,-861.81
0.210,-987.32
0.211,-1107.25
0.212,-1221.11
0.213,-1328.43
0.214,-1428.81
0.215,-1521.88
0.216,-1607.30
0.217,-1684.80
0.218,-1754.13
0.219,-1815.10
0.220,-1867.54
0.221,-1911.32
0.222,-1946.38
0.223,-1972.66
0.224,-1990.16
0.225,-1998.90
0.226,-1998.94
0.227,-1990.39
0.228,-1973.35
0.229,-1948.01
0.230,-1914.52
0.231,-1873.12
0.232,-1824.03
0.233,-1767.52
0.234,-1703.88
0.235,-1633.40
0.236,-1556.42
0.237,-1473.29
0.238,-1384.36
0.239,-1290.02
0.240,-1190.66
0.241,-1086.69
0.242,-978.53
0.243,-866.62
0.244,-751.38
0.245,-633.28
0.246,-512.77
0.247,-390.31
0.248,-266.36
0.249,-141.41
0.250,-15.93
0.251,109.62
0.252,234.75
0.253,359.00
0.254,481.88
0.255,602.93
0.256,721.69
0.257,837.69
0.258,950.49
0.259,1059.64
0.260,1164.71
0.261,1265.28
0.262,1360.93
0.263,1451.27
0.264,1535.91
0.265,1614.48
0.266,1686.64
0.267,1752.04
0.268,1810.39
0.269,1861.39
0.270,1904.76
0.271,1940.28
0.272,1967.71
0.273,1986.86
0.274,1997.58
0.275,1999.73
0.276,1993.20
0.277,1977.93
0.278,1953.88
0.279,1921.04
0.280,1879.46
0.281,1829.21
0.282,1770.39
0.283,1703.17
0.284,1627.72
0.285,1544.27
0.286,1453.12
0.287,1354.56
0.288,1248.96
0.289,1136.72
0.290,1018.29
0.291,894.14
0.292,764.81
0.293,630.86
0.294,492.91
0.295,351.59
0.296,207.60
0.297,61.66
0.298,-85.49
0.299,-233.06
0.300,-380.25
0.301,-526.22
0.302,-670.13
0.303,-811.09
0.304,-948.25
0.305,-1080.70
0.306,-1207.57
